Merge Key,Example ID_With_Ontology,ROUGE-1 F1_With_Ontology,ROUGE-L F1_With_Ontology,Coherence Score_With_Ontology,HRR_With_Ontology,LCS_With_Ontology,RA_With_Ontology,Knowledge Retention_With_Ontology,Example ID_Without_Ontology,ROUGE-1 F1_Without_Ontology,ROUGE-L F1_Without_Ontology,Coherence Score_Without_Ontology,HRR_Without_Ontology,LCS_Without_Ontology,RA_Without_Ontology,Knowledge Retention_Without_Ontology,ROUGE-1 F1 Difference,ROUGE-L F1 Difference,Coherence Score Difference,HRR Difference,LCS Difference,RA Difference,Knowledge Retention Difference
1,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1,0.44,0.44,0.17,100.0,0.1818181818181818,0.0,0.0,-0.44,-0.44,-0.17,0.0,-0.1818181818181818,0.0,0.0
2,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2,0.22,0.19,0.37,100.0,0.4166666666666667,0.0,0.0,-0.22,-0.19,-0.37,0.0,-0.4166666666666667,0.0,0.0
3,3,0.47,0.35,0.13,100.0,0.25,0.0,0.0,3,0.15,0.15,0.47,100.0,0.5,0.0,0.0,0.31999999999999995,0.19999999999999998,-0.33999999999999997,0.0,-0.25,0.0,0.0
4,4,0.88,0.88,1.0,100.0,0.6666666666666666,0.0,0.0,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.88,0.88,1.0,0.0,0.6666666666666666,0.0,0.0
5,5,0.67,0.67,0.09,100.0,0.3333333333333333,0.0,0.0,5,0.5,0.5,0.08,100.0,0.3333333333333333,0.0,0.0,0.17000000000000004,0.17000000000000004,0.009999999999999995,0.0,0.0,0.0,0.0
6,6,0.71,0.71,0.45,100.0,0.5,0.0,0.0,6,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.71,0.71,0.45,0.0,0.5,0.0,0.0
7,7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7,0.18,0.18,0.0,100.0,0.2,0.0,0.0,-0.18,-0.18,0.0,0.0,-0.2,0.0,0.0
8,8,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0.11,0.11,0.0,100.0,0.2,0.0,0.0,10,0.09,0.09,0.13,100.0,0.6,0.0,0.0,0.020000000000000004,0.020000000000000004,-0.13,0.0,-0.39999999999999997,0.0,0.0
11,11,0.36,0.3,0.41,100.0,0.3636363636363636,0.0,0.0,11,0.09,0.09,0.17,100.0,0.1818181818181818,0.0,0.0,0.27,0.21,0.23999999999999996,0.0,0.1818181818181818,0.0,0.0
12,12,0.19,0.19,0.29,100.0,0.0,0.0,0.0,12,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.19,0.19,0.29,0.0,0.0,0.0,0.0
13,13,0.14,0.14,0.0,100.0,0.0,0.0,0.0,13,0.9,0.6,0.69,100.0,0.4545454545454545,0.0,0.0,-0.76,-0.45999999999999996,-0.69,0.0,-0.4545454545454545,0.0,0.0
14,14,0.43,0.43,0.81,100.0,0.5,0.0,0.0,14,0.91,0.91,0.75,100.0,0.8333333333333334,0.0,0.0,-0.48000000000000004,-0.48000000000000004,0.06000000000000005,0.0,-0.33333333333333337,0.0,0.0
15,15,0.53,0.53,0.24,100.0,0.25,0.0,0.0,15,0.01,0.01,0.24,100.0,0.5,0.0,0.0,0.52,0.52,0.0,0.0,-0.25,0.0,0.0
16,16,0.62,0.62,0.52,100.0,0.5454545454545454,0.0,0.0,16,0.01,0.0,0.26,100.0,0.4545454545454545,0.0,0.0,0.61,0.62,0.26,0.0,0.09090909090909094,0.0,0.0
17,17,0.0,0.0,0.0,100.0,0.0,0.0,0.0,17,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
